Title,Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.35,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,10,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.40,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.45,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.50,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,11,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.55,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.05,0.60,0,0
